epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9365,4.67681,5.67281,4.32249,0,0,0,0,3.28185,4.5869,4.15893,2e-05,2e-05,2e-05
2,35.4839,3.57627,5.81687,4.54121,0,0,0,0,3.28134,4.58695,4.15893,5.98812e-05,5.98812e-05,5.98812e-05
3,52.7455,4.46143,5.42239,4.3014,0,0,0,0,3.28078,4.58728,4.15892,9.9604e-05,9.9604e-05,9.9604e-05
4,70.0794,4.57691,5.44825,4.27192,0,0,0,0,3.2803,4.58784,4.15892,0.000139168,0.000139168,0.000139168
5,79.1326,3.85196,5.39064,4.32038,0,0,0,0,3.27983,4.58843,4.15889,0.000178574,0.000178574,0.000178574
6,88.0587,4.00023,4.6738,4.26686,0,0,0,0,3.27943,4.58893,4.1588,0.000217822,0.000217822,0.000217822
7,97.1156,3.57787,4.78682,4.24507,0,0,0,0,3.27916,4.58959,4.15872,0.000256911,0.000256911,0.000256911
8,106.045,4.08841,5.06494,4.3582,0,0,0,0,3.27907,4.58945,4.15866,0.000295842,0.000295842,0.000295842
9,115.154,3.8783,4.59441,4.27235,0,0,0,0,3.27908,4.58938,4.1586,0.000334614,0.000334614,0.000334614
10,124.218,4.00996,4.40883,4.36486,0,0,0,0,3.27913,4.58983,4.15863,0.000373228,0.000373228,0.000373228
11,133.324,3.7267,4.84314,4.25906,0,0,0,0,3.27924,4.59037,4.15865,0.000411684,0.000411684,0.000411684
12,143.459,3.7421,4.72477,4.22979,0,0,0,0,3.27936,4.59094,4.15845,0.000449981,0.000449981,0.000449981
13,156.387,4.02245,4.35759,4.15225,0,0,0,0,3.27955,4.59106,4.1584,0.00048812,0.00048812,0.00048812
14,168.51,3.29065,4.81148,4.1398,0,0,0,0,3.27988,4.59166,4.15847,0.0005261,0.0005261,0.0005261
15,178.502,3.24622,4.42659,4.10474,0,0,0,0,3.2801,4.59297,4.15869,0.000563922,0.000563922,0.000563922
16,187.729,3.24985,4.04734,4.08699,0,0,0,0,3.28063,4.59406,4.15913,0.000601586,0.000601586,0.000601586
17,196.965,3.71592,4.03797,4.25424,0,0,0,0,3.28115,4.59271,4.15963,0.000639091,0.000639091,0.000639091
18,205.956,3.12827,4.44891,4.05096,0,0,0,0,3.2819,4.58663,4.16023,0.000676438,0.000676438,0.000676438
19,215.132,3.57507,4.07828,3.94383,0,0,0,0,3.28285,4.57552,4.16074,0.000713626,0.000713626,0.000713626
20,224.31,3.51796,3.9538,3.96077,0,0,0,0,3.2839,4.56207,4.16152,0.000750656,0.000750656,0.000750656
21,233.548,3.14609,3.70821,3.80326,0,0,0,0,3.28471,4.54237,4.16261,0.000787528,0.000787528,0.000787528
22,242.59,3.04197,3.10182,4.02478,0,0,0,0,3.28525,4.51823,4.16413,0.000824241,0.000824241,0.000824241
23,251.8,3.38625,3.70845,4.1393,0,0,0,0,3.28621,4.49814,4.16622,0.000860796,0.000860796,0.000860796
24,260.943,2.95631,2.81207,3.63644,0,0,0,0,3.28751,4.48503,4.17007,0.000897192,0.000897192,0.000897192
25,270.026,2.93024,3.05205,3.54319,0,0,0,0,3.28956,4.47845,4.17509,0.00093343,0.00093343,0.00093343
26,279.091,2.5196,3.28482,3.52277,0,0,0,0,3.29133,4.47053,4.18222,0.00096951,0.00096951,0.00096951
27,288.071,2.82296,2.89535,3.54557,0,0,0,0,3.29251,4.45133,4.18877,0.00100543,0.00100543,0.00100543
28,297.184,2.89641,2.86686,3.42733,0,0,0,0,3.29251,4.45133,4.18877,0.00104119,0.00104119,0.00104119
29,306.399,2.9768,3.02053,3.45512,0,0,0,0,3.29265,4.41714,4.19107,0.0010768,0.0010768,0.0010768
30,315.672,2.56745,2.60578,3.2236,0,0,0,0,3.28973,4.37892,4.19027,0.00111224,0.00111224,0.00111224
31,324.801,2.63709,2.9327,3.19588,0,0,0,0,3.28973,4.37892,4.19027,0.00114753,0.00114753,0.00114753
32,333.877,2.6433,3.10486,3.36912,0,0,0,0,3.29016,4.35515,4.19251,0.00118266,0.00118266,0.00118266
33,342.942,2.46604,2.84996,3.0571,0,0,0,0,3.29092,4.38073,4.19391,0.00121763,0.00121763,0.00121763
34,351.977,2.31564,2.54961,2.82066,0,0,0,0,3.29092,4.38073,4.19391,0.00125244,0.00125244,0.00125244
35,361.168,2.4714,2.61921,3.15926,0,0,0,0,3.29273,4.39974,4.19517,0.0012871,0.0012871,0.0012871
36,370.244,2.7234,2.77111,3.45109,0,0,0,0,3.29688,4.40254,4.19982,0.00132159,0.00132159,0.00132159
37,379.332,2.48955,2.59523,3.17011,0,0,0,0,3.29688,4.40254,4.19982,0.00135593,0.00135593,0.00135593
38,388.567,2.53115,2.48713,2.97813,0,0,0,0,3.30438,4.3811,4.2089,0.00139011,0.00139011,0.00139011
39,397.743,2.16977,2.34104,2.83886,0,0,0,0,3.31937,4.38681,4.226,0.00142413,0.00142413,0.00142413
40,406.839,2.27199,2.83852,3.32523,0,0,0,0,3.31937,4.38681,4.226,0.00145799,0.00145799,0.00145799
41,415.995,2.08695,2.20883,2.84208,0,0,0,0,3.32508,4.3903,4.23857,0.0014917,0.0014917,0.0014917
42,425.136,2.11604,2.44086,2.86472,0,0,0,0,3.32207,4.38783,4.24197,0.00152524,0.00152524,0.00152524
43,434.364,2.21883,2.42898,2.97225,0,0,0,0,3.32207,4.38783,4.24197,0.00155863,0.00155863,0.00155863
44,443.757,2.14832,2.19709,2.6937,0,0,0,0,3.3118,4.38775,4.23972,0.00159186,0.00159186,0.00159186
45,452.817,2.18294,2.01877,2.77591,0,0,0,0,3.3118,4.38775,4.23972,0.00162493,0.00162493,0.00162493
46,461.963,2.32116,2.22432,2.66521,0,0,0,0,3.2979,4.37083,4.22638,0.00165784,0.00165784,0.00165784
47,471.093,2.79819,2.73895,3.48074,0,0,0,0,3.2979,4.37083,4.22638,0.00169059,0.00169059,0.00169059
48,480.309,2.2345,2.22094,2.86779,0,0,0,0,3.28087,4.34753,4.21289,0.00172319,0.00172319,0.00172319
49,489.62,2.09234,2.59734,2.847,0,0,0,0,3.28087,4.34753,4.21289,0.00175562,0.00175562,0.00175562
50,498.768,2.26224,2.49038,2.96917,0,0,0,0,3.27295,4.37233,4.21183,0.0017879,0.0017879,0.0017879
51,507.94,2.31738,1.96621,2.58259,0,0,0,0,3.27295,4.37233,4.21183,0.001802,0.001802,0.001802
52,517.135,2.07658,2.30422,2.82231,0,0,0,0,3.26196,4.41769,4.20039,0.00179804,0.00179804,0.00179804
53,526.23,2.11507,2.33286,2.529,0,0,0,0,3.26196,4.41769,4.20039,0.00179408,0.00179408,0.00179408
54,535.755,2.28438,2.70204,2.59849,0,0,0,0,3.23888,4.43271,4.16949,0.00179012,0.00179012,0.00179012
55,545.015,1.9277,2.27905,2.46868,0,0,0,0,3.23888,4.43271,4.16949,0.00178616,0.00178616,0.00178616
56,555.391,1.94602,2.39303,2.5227,0.00065,0.1,0.00047,9e-05,3.15201,4.38724,4.10137,0.0017822,0.0017822,0.0017822
57,565.685,2.20547,2.35728,2.61524,0.00065,0.1,0.00047,9e-05,3.15201,4.38724,4.10137,0.00177824,0.00177824,0.00177824
58,575.219,1.82733,2.26546,2.50997,0.64835,0.1,0.10589,0.01912,2.76479,3.93818,3.84577,0.00177428,0.00177428,0.00177428
59,584.673,2.00073,1.84903,2.45813,0.64835,0.1,0.10589,0.01912,2.76479,3.93818,3.84577,0.00177032,0.00177032,0.00177032
60,594.174,1.99799,1.90083,2.26941,0.41682,0.3,0.27932,0.12222,2.52805,3.41066,3.56158,0.00176636,0.00176636,0.00176636
61,603.399,1.83041,2.03823,2.30096,0.41682,0.3,0.27932,0.12222,2.52805,3.41066,3.56158,0.0017624,0.0017624,0.0017624
62,612.796,1.79179,1.88569,2.33511,0.38623,0.31527,0.27035,0.11915,2.67511,2.94236,3.43132,0.00175844,0.00175844,0.00175844
63,622.072,2.11332,2.48788,2.6663,0.38623,0.31527,0.27035,0.11915,2.67511,2.94236,3.43132,0.00175448,0.00175448,0.00175448
64,631.361,1.89432,1.85575,2.24518,0.41743,0.35,0.33002,0.13686,2.59621,2.81355,3.34825,0.00175052,0.00175052,0.00175052
65,641.022,1.75978,1.72997,2.15503,0.41743,0.35,0.33002,0.13686,2.59621,2.81355,3.34825,0.00174656,0.00174656,0.00174656
66,650.567,1.80341,1.70655,2.46246,0.49751,0.4,0.36695,0.21339,2.34591,2.73213,3.16967,0.0017426,0.0017426,0.0017426
67,659.811,2.67061,2.90118,3.31567,0.49751,0.4,0.36695,0.21339,2.34591,2.73213,3.16967,0.00173864,0.00173864,0.00173864
68,669.207,1.81867,1.76053,2.25396,0.9048,0.4,0.4789,0.26182,2.22895,2.59776,3.06776,0.00173468,0.00173468,0.00173468
69,678.714,1.94455,2.06473,2.74008,0.9048,0.4,0.4789,0.26182,2.22895,2.59776,3.06776,0.00173072,0.00173072,0.00173072
